1631876222.935,906.0,905.0
1631876223.234,905.0,905.0
1631876223.533,904.0,905.0
1631876223.836,905.0,905.0
1631876224.135,907.0,905.0
1631876224.434,905.0,905.0
1631876224.737,905.0,905.0
1631876225.036,904.0,905.0
1631876225.335,905.0,905.0
1631876225.634,905.0,905.0
1631876225.937,904.0,905.0
1631876226.236,904.0,904.0
1631876226.536,905.0,904.0
1631876226.838,905.0,904.0
1631876227.137,904.0,904.0
1631876227.437,906.0,904.0
1631876227.739,905.0,904.0
1631876228.038,905.0,904.0
1631876228.338,904.0,904.0
1631876228.64,905.0,904.0
1631876228.94,905.0,904.0
1631876229.239,905.0,904.0
1631876229.538,904.0,904.0
1631876229.841,903.0,904.0
1631876230.14,904.0,904.0
1631876230.439,904.0,904.0
1631876230.742,904.0,904.0
1631876231.041,905.0,904.0
1631876231.34,905.0,904.0
1631876231.643,905.0,904.0
1631876231.942,905.0,904.0
1631876232.241,905.0,904.0
1631876232.544,905.0,904.0
1631876232.843,904.0,904.0
1631876233.142,904.0,904.0
1631876233.441,904.0,904.0
1631876233.744,905.0,904.0
1631876234.043,904.0,904.0
1631876234.342,905.0,904.0
1631876234.645,905.0,904.0
1631876234.944,905.0,904.0
1631876235.243,905.0,904.0
1631876235.546,905.0,904.0
1631876235.845,904.0,904.0
1631876236.144,905.0,904.0
1631876236.447,905.0,904.0
1631876236.746,905.0,904.0
1631876237.045,908.0,904.0
1631876237.348,904.0,905.0
1631876237.647,905.0,905.0
1631876237.946,905.0,905.0
1631876238.246,905.0,905.0
1631876238.548,904.0,905.0
1631876238.847,905.0,905.0
1631876239.147,905.0,905.0
1631876239.449,903.0,905.0
1631876239.748,904.0,904.0
1631876240.048,904.0,904.0
1631876240.35,905.0,904.0
1631876240.65,904.0,904.0
1631876240.949,904.0,904.0
1631876241.252,902.0,904.0
1631876241.551,905.0,904.0
1631876241.85,904.0,904.0
1631876242.149,905.0,904.0
1631876242.452,905.0,904.0
1631876242.751,904.0,904.0
1631876243.05,905.0,904.0
1631876243.353,904.0,904.0
1631876243.652,904.0,904.0
1631876243.951,903.0,904.0
1631876244.254,902.0,904.0
1631876244.553,904.0,904.0
1631876244.852,904.0,904.0
1631876245.155,904.0,904.0
1631876245.454,906.0,903.0
1631876245.753,905.0,904.0
1631876246.052,905.0,904.0
1631876246.355,905.0,904.0
1631876246.654,905.0,904.0
1631876246.953,907.0,904.0
1631876247.256,905.0,904.0
1631876247.555,905.0,905.0
1631876247.854,905.0,905.0
1631876248.157,905.0,905.0
1631876248.456,906.0,905.0
1631876248.755,906.0,905.0
1631876249.058,903.0,905.0
1631876249.357,904.0,905.0
1631876249.656,904.0,905.0
1631876249.955,904.0,905.0
1631876250.258,904.0,904.0
1631876250.557,904.0,904.0
1631876250.856,904.0,904.0
1631876251.159,904.0,904.0
1631876251.458,905.0,904.0
1631876251.757,905.0,904.0
1631876252.06,904.0,904.0
1631876252.359,904.0,904.0
1631876252.658,907.0,904.0
1631876252.961,904.0,904.0
1631876253.261,904.0,904.0
1631876253.56,905.0,904.0
1631876253.859,905.0,904.0
1631876254.162,905.0,904.0
1631876254.461,905.0,904.0
1631876254.76,903.0,904.0
1631876255.063,907.0,904.0
1631876255.362,905.0,904.0
1631876255.661,905.0,905.0
1631876255.964,905.0,904.0
1631876256.263,904.0,904.0
1631876256.562,905.0,904.0
1631876256.865,905.0,904.0
1631876257.164,905.0,904.0
1631876257.463,905.0,904.0
1631876257.762,905.0,904.0
1631876258.065,905.0,905.0
1631876258.364,906.0,904.0
1631876258.663,908.0,905.0
1631876258.966,905.0,905.0
1631876259.265,905.0,905.0
1631876259.564,905.0,905.0
1631876259.867,905.0,905.0
1631876260.166,905.0,905.0
1631876260.465,904.0,905.0
1631876260.768,905.0,905.0
1631876261.067,904.0,905.0
1631876261.366,905.0,905.0
1631876261.665,905.0,905.0
1631876261.968,904.0,904.0
1631876262.267,905.0,904.0
1631876262.566,905.0,904.0
1631876262.869,904.0,904.0
1631876263.168,906.0,904.0
1631876263.467,905.0,904.0
1631876263.77,905.0,904.0
1631876264.069,903.0,904.0
1631876264.368,905.0,904.0
1631876264.671,905.0,904.0
1631876264.97,904.0,904.0
1631876265.269,904.0,904.0
1631876265.569,907.0,904.0
1631876265.872,904.0,904.0
1631876266.171,906.0,904.0
1631876266.47,905.0,904.0
1631876266.773,903.0,904.0
1631876267.072,905.0,904.0
